SKU,이름,설명,가격,카테고리
,"(샘플) DLiv 전용 인젝터 20 SET","<img class=""alignnone size-full wp-image-9637"" src=""https://mall.jeisys.com/wp-content/uploads/2017/06/상품상세-1.jpg"" alt="""" width=""1920"" height=""900"" /><img class=""alignnone size-full wp-image-9638"" src=""https://mall.jeisys.com/wp-content/uploads/2017/06/상품상세-2.jpg"" alt="""" width=""1920"" height=""900"" /><img class=""alignnone size-full wp-image-9639"" src=""https://mall.jeisys.com/wp-content/uploads/2017/06/상품상세-3.jpg"" alt="""" width=""1920"" height=""900"" /><img class=""alignnone size-full wp-image-9640"" src=""https://mall.jeisys.com/wp-content/uploads/2017/06/상품상세-4.jpg"" alt="""" width=""1920"" height=""900"" /><img class=""alignnone size-full wp-image-9641"" src=""https://mall.jeisys.com/wp-content/uploads/2017/06/상품상세-5.jpg"" alt="""" width=""1920"" height=""900"" />",599,"Density, POTENZA"
,"음극판(밴드 부착형)",,27500,Density
,"Density 전용 가스",,80000,Density
,"Density 전용 커플링 플루이드 30ml",,100000,Density
,"DLiv 전용 인젝터 20 SET",,198000,DLiv
,"DLiv 전용 PUMPING 16 팁 10SET",,250000,DLiv
,"DLiv 전용 PUMPING 25 팁 10SET",,250000,DLiv
,"POTENZA 1needle 1.5mm","<p style=""padding-left: 40px; text-align: left;""><strong>1 needle 1.5mm <span style=""color: #ff0000;"">1셋트당 5개</span>로 구성되어 있습니다.</strong></p>",55000,POTENZA
,"POTENZA 1 needle 1.2mm",,55000,POTENZA
,"POTENZA 1needle 0.8mm",,55000,POTENZA
,"POTENZA 전용 절연 I-49Tip","<blockquote>
\n<p style=""text-align: center;""></p>
\n</blockquote>",165000,POTENZA
,"POTENZA 전용 비절연 N-49Tip",,165000,POTENZA
,"POTENZA 전용 절연 I-25Tip",,165000,POTENZA
,"POTENZA 전용 비절연 N-25Tip",,165000,POTENZA
,"POTENZA 전용 절연 I-16Tip",,165000,POTENZA
,"POTENZA 전용 비절연 N-16Tip",,165000,POTENZA
,"POTENZA 전용 PUMPING CP-21Tip",,245000,POTENZA
,"POTENZA 전용 PUMPING CP-25 Tip",,245000,POTENZA
,"POTENZA 전용 PUMPING CP-16 Tip",,245000,POTENZA
,"POTENZA 전용 DDR Tip (비침습 핸드피스 전용)",,220000,POTENZA
,"POTENZA 전용 SFA Tip (비침습 핸드피스 전용)",,55000,POTENZA
